ProductID,ChipType,Node,PartNumber,UnitPrice,CustomerSegment,SupplierID,SupplierName,SupplierType,SupplierLocation,ESGRating,FinancialHealthScore,RawMaterialID,RawMaterialName,RawMaterialCostPerUnit,RawMaterialCountryOfOrigin,LinkLeadTimeDays,SourceType,MinOrderQty,LinkPricePerUnit,ContractIncoterms,ContractCapacityCommitment,SLAOnTimeDelivery,WaferStarts,WaferLeadTimeDays,FabCycleTimeDays,WaferCost,WaferYield,AssemblyLeadTimeDays,PackagingCostPerUnit,AssemblyYield,TestPassRate,OriginCountry,DestinationCountry,ShippingMode,Carrier,AverageTransitTime,ShippingCost,DieInventory,FGInventory,WIPInventory,SafetyStockLevel,InspectionResult,DefectRate,CustomerReturnsRate,SupplierRiskScore,CountryRiskLevel,LeadTimeRisk,SingleSourceFlag,ESGComplianceStatus
PROD2000,SoC,7nm,CH20000,186.33,Consumer Electronics,SUP005,UTAC,OSAT,China,B,75,RM002,Photoresist,20,Japan,98,Primary,2332,28.81,FOB,16024,93.5,6750,98,86,3632.6,98.91,18,1.04,98.7,97.38,China,Germany,Road,DB Cargo,22,5404.93,7927,7733,14986,4008,Pass,0.258,0.014,High,High,Medium,No,Non-compliant
PROD2001,SoC,5nm,CH20001,48.3,Consumer Electronics,SUP004,Amkor,OSAT,Singapore,A,88,RM003,Copper Wire,5,China,64,Primary,5529,7.37,CIF,18425,95.4,9570,64,64,2224.5,93.21,24,2.62,98.56,97.54,Singapore,Germany,Air,DB Cargo,25,6642.04,34847,26698,5575,3673,Pass,0.323,0.031,Low,Low,Low,Yes,Compliant
PROD2002,Memory,7nm,CH20002,173.96,Data Center,SUP004,Amkor,OSAT,Singapore,A,88,RM001,Silicon Ingot,50,Japan,85,Primary,4705,69.23,CIF,18516,92.6,14307,85,66,2962.4,93.68,14,2.97,96.98,97.37,Singapore,Germany,Air,DB Cargo,15,10530.57,33728,26417,35973,3827,Pass,0.08,0.014,Low,Low,Medium,Yes,Compliant
PROD2003,GPU,5nm,CH20003,155.81,Data Center,SUP002,GlobalFoundries,Foundry,USA,A,90,RM003,Copper Wire,5,China,72,Primary,7668,6.63,CIF,17139,88.6,10120,72,80,3098.55,96.39,12,4.05,96.44,97.04,USA,Germany,Rail,FedEx,17,9242.19,9751,2570,31153,3388,Pass,0.192,0.098,Low,Low,Low,No,Compliant
PROD2004,Memory,5nm,CH20004,80.24,Industrial,SUP005,UTAC,OSAT,China,B,75,RM001,Silicon Ingot,50,Japan,71,Primary,7517,57.37,CIF,6583,93.1,7149,71,61,2469.25,94.65,24,3.2,97.86,97.72,China,Germany,Rail,DHL,15,5845.47,22500,28082,29335,2188,Pass,0.298,0.022,High,High,Low,Yes,Non-compliant
PROD2005,Memory,7nm,CH20005,152.66,Data Center,SUP002,GlobalFoundries,Foundry,USA,A,90,RM003,Copper Wire,5,China,87,Primary,4785,5.98,CIF,17109,85.1,13398,87,52,4767.74,98.98,20,1.49,97.13,96.89,USA,Germany,Rail,DHL,27,12149.88,10547,22744,38634,1860,Pass,0.263,0.093,Low,Low,Medium,Yes,Compliant
PROD2006,ASIC,5nm,CH20006,145.36,Data Center,SUP005,UTAC,OSAT,China,B,75,RM003,Copper Wire,5,China,92,Primary,7772,6.28,DDP,6856,96.0,14557,92,54,3331.99,96.64,24,3.93,97.67,99.59,China,Germany,Rail,FedEx,16,17382.51,38757,25276,16201,2424,Pass,0.21,0.08,High,High,Medium,Yes,Non-compliant
PROD2007,GPU,12nm,CH20007,98.59,Industrial,SUP002,GlobalFoundries,Foundry,USA,A,90,RM004,Packaging Substrate,10,Taiwan,74,Primary,7498,12.64,CIF,6646,87.9,2611,74,68,2270.68,94.92,20,3.97,98.98,95.48,USA,Germany,Sea,DB Cargo,26,17713.9,34797,9732,22509,4696,Pass,0.298,0.081,Low,Low,Low,Yes,Compliant
PROD2008,ASIC,5nm,CH20008,80.97,Industrial,SUP005,UTAC,OSAT,China,B,75,RM004,Packaging Substrate,10,Taiwan,95,Primary,2644,11.01,EXW,6670,87.5,14414,95,85,4569.31,93.64,10,3.08,98.26,95.32,China,Germany,Road,FedEx,21,12358.36,49465,4661,21830,1858,Pass,0.226,0.08,High,High,Medium,Yes,Non-compliant
PROD2009,SoC,7nm,CH20009,63.85,Consumer Electronics,SUP003,ASE Group,OSAT,Taiwan,B+,80,RM003,Copper Wire,5,China,89,Primary,4089,6.35,CIF,8645,88.6,3252,89,74,2357.42,94.13,12,1.12,95.02,97.38,Taiwan,Germany,Air,UPS,12,5546.56,6680,25911,11040,3763,Pass,0.242,0.06,Medium,Medium,Medium,No,Non-compliant
